Aadhar_No,Age,Monthly_Income,Scheme,Amount_Received
1230 5677 9011,68,4500,APY,3000
1233 6789 0128,81,3500,PENSION,3500
3056 7890 1235,45,9500,APY,2000
6507 8901 2047,54,4500,MGNREGA,3000
8678 9012 3450,45,5000,MGNREGA,2000
5709 0723 4568,80,2200,PENSION,2200
9890 0234 5676,40,10000,PM-SYM,3000
9801 2305 6784,77,2800,PENSION,2800
1230 5677 9011,77,4000,APY,3000
6789 1233 0128,80,3200,PENSION,3000
1235 3056 7901,79,20000,APY,2500
8734 8901 2047,54,4800,MGNREGA,2000
7678 7012 3450,46,6000,MGNREGA,9000
7809 0123 9568,72,2500,PENSION,2000
8891 0234 5676,63,10000,PM-SYM,2500
7601 0305 0784,72,3000,PENSION,2000
